id_film;url;type_film;multilingues;nationalite;titre;genre;duree;reprise;couleur;note_presse;note_spectateurs;age_acteur;date
1783;http://www.allocine.fr/film/fichefilm_gen_cfilm=1783.html;Long-métrage;FALSE;français;Le Ciel de Paris;Comédie dramatique;90;FALSE;Couleur;;2,9;24;15/01/1992
1786;http://www.allocine.fr/film/fichefilm_gen_cfilm=1786.html;Long-métrage;TRUE;français;Trafic;Comédie;92;TRUE;Couleur;;3,4;84;15/08/2008
1794;http://www.allocine.fr/film/fichefilm_gen_cfilm=1794.html;Long-métrage;TRUE;italien;Sandra;Drame;105;FALSE;N&B;5;4;79;17/05/2017
1819;http://www.allocine.fr/film/fichefilm_gen_cfilm=1819.html;Long-métrage;FALSE;français;La Vie Est À Nous;Documentaire;66;TRUE;N&B;;3,2;41,05145448;04/06/2003
1822;http://www.allocine.fr/film/fichefilm_gen_cfilm=1822.html;Long-métrage;TRUE;russe;Le Miroir;Biopic;108;TRUE;Couleur et N&B;;4,1;41,05145448;29/07/2002
1867;http://www.allocine.fr/film/fichefilm_gen_cfilm=1867.html;Long-métrage;FALSE;français;Farrebique;Documentaire;100;TRUE;N&B;;3,7;41,05145448;20/10/2013
1890;http://www.allocine.fr/film/fichefilm_gen_cfilm=1890.html;Long-métrage;FALSE;français;Août;Comédie dramatique;90;FALSE;Couleur;;3,2;28;08/01/1992
1891;http://www.allocine.fr/film/fichefilm_gen_cfilm=1891.html;Long-métrage;FALSE;français;De force avec d'autres;Drame;95;FALSE;Couleur;;;70;24/04/1993
1900;http://www.allocine.fr/film/fichefilm_gen_cfilm=1900.html;Long-métrage;FALSE;français;Mes amis;Comédie;97;FALSE;Couleur;2,3;2,3;34;02/06/1999
1918;http://www.allocine.fr/film/fichefilm_gen_cfilm=1918.html;Long-métrage;FALSE;français;Tous les matins du monde;Drame;115;FALSE;Couleur;;3,5;42;18/12/1991
1919;http://www.allocine.fr/film/fichefilm_gen_cfilm=1919.html;Long-métrage;FALSE;français;Les Visiteurs 2 : Les couloirs du temps;Comédie;118;FALSE;Couleur;;2,2;49;11/02/1998
1992;http://www.allocine.fr/film/fichefilm_gen_cfilm=1992.html;Long-métrage;FALSE;français;Talons Aiguilles;Comédie dramatique;113;TRUE;Couleur;;2,3;32;15/08/1992
2081;http://www.allocine.fr/film/fichefilm_gen_cfilm=2081.html;Long-métrage;FALSE;britannique;Au coeur de la nuit;Epouvante-horreur;107;TRUE;N&B;;3,6;102;07/04/2001
2083;http://www.allocine.fr/film/fichefilm_gen_cfilm=2083.html;Long-métrage;FALSE;français;Rebelote;Comédie dramatique;80;TRUE;Couleur;;;67;16/07/2012
2097;http://www.allocine.fr/film/fichefilm_gen_cfilm=2097.html;Long-métrage;TRUE;français;Night on Earth;Comédie dramatique;125;FALSE;Couleur;;3,7;61;26/11/1991
2153;http://www.allocine.fr/film/fichefilm_gen_cfilm=2153.html;Long-métrage;FALSE;suisse;Welcome in Vienna - Partie 3 : Welcome in Vienna;Drame;127;FALSE;N&B;4,7;4;48;30/11/2011
2200;http://www.allocine.fr/film/fichefilm_gen_cfilm=2200.html;Long-métrage;FALSE;britannique;Zina;Drame;93;FALSE;Couleur;;;37;29/01/1997
